Strongs,Lgg,X,Word,Pos_Long,Pos_Abbv,Transliteration,Meaning
H4226,H,4226,מְחַבְּרָה,noun fem,n-f.,mchabbrah (mekh-ab-ber-aw'),"1. a joiner, i.e. brace or cramp [from H2266] KJV: coupling, joining. Root(s): H2266"
H4227,H,4227,מַחֲבַת,noun fem,n-f.,machabath (makh-ab-ath'),"1. a pan for baking in [from the same as H2281] KJV: pan. Root(s): H2281"""
H4228,H,4228,מַחֲגוֹרֶת,noun fem,n-f.,machagoreth (makh-ag-o'-reth),"1. a girdle [from H2296] KJV: girding. Root(s): H2296"""
H4229,H,4229,מָחָה,verb,v.,machah (maw-khaw'),"1. (properly) to stroke or rub 2. (by implication) to erase 3. (also) to smooth (as if with oil), i.e. grease or make fat 4. (also) to touch, i.e. reach to [a primitive root] KJV: abolish, blot out, destroy, full of marrow, put out, reach unto, X utterly, wipe (away, out)."
H4230,H,4230,מְחוּגָה,noun fem,n-f.,mchuwgah (mekk-oo-gaw'),"1. an instrument for marking a circle, i.e. compasses [from H2328] KJV: compass. Root(s): H2328"
H4231,H,4231,מָחוֹז,noun masc,n-m.,machowz (maw-khoze'),"1. a harbor (as shut in by the shore) [from an unused root meaning to enclose] KJV: haven."""
H4232,H,4232,מְחוּיָאֵל מְחִיָּאֵל,name,n/p.,Mchuwya'el (mekh-oo-yaw-ale') (or Mchiyyauel {mekh-ee-yaw-ale'}),"1. smitten of God 2. Mechujael or Mechijael, an anxediluvian patriarch [from H4229 and H410] KJV: Mehujael. Root(s): H4229, H410"
H4233,H,4233,מַחֲוִים,adjective,adj.,Machaviym (makh-av-eem'),"1. a Machavite or inhabitant of some place named Machaveh [apparently a patrial, but from an unknown place (in the plural only for a singular)] KJV: Mahavite."
H4234,H,4234,מָחוֹל,noun masc,n-m.,machowl (maw-khole'),"1. a (round) dance [from H2342] KJV: dance(-cing). Root(s): H2342"""
H4235,H,4235,מָחוֹל,name,n/p.,Machowl (maw-khole'),"1. dancing 2. Machol, an Israelite [the same as H4234] KJV: Mahol. Root(s): H4234"
H4236,H,4236,מַחֲזֶה,noun masc,n-m.,machazeh (makh-az-eh'),"1. a vision [from H2372] KJV: vision. Root(s): H2372"""
H4237,H,4237,מֶחֱזָה,noun fem,n-f.,mechezah (mekh-ez-aw'),"1. a window [from H2372] KJV: light. Root(s): H2372"""
H4238,H,4238,מַחֲזִיאוֹת,name,n/p.,Machaziy'owth (makh-az-ee-oth'),"1. visions 2. Machazioth, an Israelite [feminine plural from H2372] KJV: Mahazioth. Root(s): H2372"
H4239,H,4239,מְחִי,noun masc,n-m.,mchiy (mekh-ee'),"1. a stroke, i.e. battering-ram [from H4229] KJV: engines. Root(s): H4229"
H4240,H,4240,מְחִידָּא,name,n/p.,Mchiyda' (mek-ee-daw'),"1. junction 2. Mechida, one of the Nethinim [from H2330] KJV: Mehida. Root(s): H2330"
H4241,H,4241,מִחיָה,noun fem,n-f.,michyah (mikh-yaw'),"1. preservation of life 2. (hence) sustenance 3. also the live flesh, i.e. the quick [from H2421] KJV: preserve life, quick, recover selves, reviving, sustenance, victuals. Root(s): H2421"
H4242,H,4242,מְחִיר,noun masc,n-m.,mchiyr (mekk-eer'),"1. price, payment, wages [from an unused root meaning to buy] KJV: gain, hire, price, sold, worth."
H4243,H,4243,מְחִיר,name,n/p.,Mchiyr (mekh-eer'),"1. price 2. Mechir, an Israelite [the same as H4242] KJV: Mehir. Root(s): H4242"
H4244,H,4244,מַחלָה,name,n/p.,Machlah (makh-law'),"1. sickness 2. Machlah, the name apparently of two Israelitesses [from H2470] KJV: Mahlah. Root(s): H2470"
H4245,H,4245,מַחֲלֶה מַחֲלָה,noun masc,n-m.,machaleh (makh-al-eh') (or (feminine) machalah {makk-al-aw'}),"1. sickness [from H2470] KJV: disease, infirmity, sickness. Root(s): H2470"
H4246,H,4246,מְחוֹלָה,noun fem,n-f.,mchowlah (mek-o-law'),"1. a dance [feminine of H4284] KJV: company, dances(-cing). Root(s): H4284"
H4247,H,4247,מְחִלָּה,noun fem,n-f.,mchillah (mekh-il-law'),"1. a cavern (as if excavated) [from H2490] KJV: cave. Root(s): H2490"""
H4248,H,4248,מַחלוֹן,name,n/p.,Machlown (makh-lone'),"1. sick 2. Machlon, an Israelite [from H2470] KJV: Mahlon. Root(s): H2470"
H4249,H,4249,מַחלִי,name,n/p.,Machliy (makh-lee'),"1. sick 2. Machli, the name of two Israelites [from H2470] KJV: Mahli. Root(s): H2470"
H4250,H,4250,מַחלִי,adjective,adj.,Machliy (makh-lee'),"1. a Machlite or (collectively) descendants of Machli [patronymical from H4249] KJV: Mahlites. Root(s): H4249"""
H4251,H,4251,מַחלוּי,noun masc,n-m.,machluy (makh-loo'-ee),"1. a disease [from H2470] KJV: disease. Root(s): H2470"""
H4252,H,4252,מַחֲלָף,noun masc,n-m.,machalaph (makh-al-awf'),"1. a (sacrificial) knife (as gliding through the flesh) [from H2498] KJV: knife. Root(s): H2498"""
H4253,H,4253,מַחלָפָה,noun fem,n-f.,machlaphah (makh-law-faw'),"1. a ringlet of hair (as gliding over each other) [from H2498] KJV: lock. Root(s): H2498"""
H4254,H,4254,מַחֲלָצָה,noun fem,n-f.,machalatsah (makh-al-aw-tsaw'),"1. a mantle (as easily drawn off) [from H2502] KJV: changeable suit of apparel, change of raiment. Root(s): H2502"
A4255,A,4255,מַחלְקָה,noun fem,n-f.,machlqah (makh-lek-aw'),"1. a section (of the Levites) [(Aramaic) corresponding to H4256] KJV: course. Root(s): H4256"""
H4256,H,4256,מַחֲלוֹקֶת,noun fem,n-f.,machaloqeth (makh-al-o'-keth),"1. a section (of Levites, people or soldiers) [from H2505] KJV: company, course, division, portion. See also H5555. Root(s): H2505 See also: H5555"
H4257,H,4257,מַחֲלַת,noun fem,n-f.,machalath (makh-al-ath'),"1. sickness 2. Machalath, probably the title (initial word) of a popular song [from H2470] KJV: Mahalath. Root(s): H2470"
H4258,H,4258,מַחֲלַת,name,n/p.,Machalath (makh-al-ath'),"1. sickness 2. Machalath, the name of an Ishmaelitess and of an Israelitess [the same as H4257] KJV: Mahalath. Root(s): H4257"
H4259,H,4259,מְחוֹלָתִי,adjective,adj.,Mcholathiy (mekh-o-law-thee'),"1. a Mecholathite or inhabitant of Abel-Mecholah [patrial from H65] KJV: Mecholathite. Root(s): H65"""
H4260,H,4260,מַחֲמָאָה,noun fem,n-f.,machama'ah (makh-am-aw-aw'),"1. something buttery (i.e. unctuous and pleasant), as (figuratively) flattery [a denominative from H2529] KJV: X than butter. Root(s): H2529"
H4261,H,4261,מַחמָד,noun masc,n-m.,machmad (makh-mawd'),"1. delightful 2. (hence) a delight, i.e. object of affection or desire [from H2530] KJV: beloved, desire, goodly, lovely, pleasant (thing). Root(s): H2530"
H4262,H,4262,מַחמוּד מַחמוּד,noun masc,n-m.,machmud (makh-mood') (or machmuwd {makh-mood'}),"1. desired 2. (hence) a valuable [from H2530] KJV: pleasant thing. Root(s): H2530"""
H4263,H,4263,מַחמָל,noun masc,n-m.,machmal (makh-mawl'),"1. (properly) sympathy 2. (by paronomasia with H4261) delight [from H2550] KJV: pitieth. Root(s): H2550 See also: H4261"""
H4264,H,4264,מַחֲנֶה,noun masc,n-m.,machaneh (makh-an-eh'),"1. an encampment (of travellers or troops) 2. (hence) an army, whether literal (of soldiers) or figurative (of dancers, angels, cattle, locusts, stars 3. or even the sacred courts) [from H2583] KJV: army, band, battle, camp, company, drove, host, tents. Root(s): H2583"
H4265,H,4265,מַחֲנֵה ־ דָּן,name/l.,n/l.,Machaneh-Dan (makh-an-ay'-dawn),"1. camp of Dan 2. Machaneh-Dan, a place in Israel [from H4264 and H1835] KJV: Mahaneh-dan. Root(s): H4264, H1835"
H4266,H,4266,מַחֲנַיִם,name/l.,n/l.,Machanayim (makh-an-ah'-yim),"1. double camp 2. Machanajim, a place in Israel [dual of H4264] KJV: Mahanaim. Root(s): H4264"
H4267,H,4267,מַחֲנַק,noun masc,n-m.,machanaq (makh-an-ak'),"1. strangling [from H2614] Root(s): H2614"""
H4268,H,4268,מַחֲסֶה מַחסֶה,noun masc,n-m.,machaceh (makh-as-eh') (or machceh {makh-seh'}),"1. a shelter (literally or figuratively) [from H2620] KJV: hope, (place of) refuge, shelter, trust. Root(s): H2620"
H4269,H,4269,מַחסוֹם,noun masc,n-m.,machcowm (makh-sohm'),"1. a muzzle [from H2629] KJV: bridle. Root(s): H2629"""
H4270,H,4270,מַחסוֹר מַחסוֹר,noun masc,n-m.,machcowr (makh-sore') (or machcor {makh-sore'}),"1. deficiency 2. (hence) impoverishment [from H2637] KJV: lack, need, penury, poor, poverty, want. Root(s): H2637"
H4271,H,4271,מַחסֵיָה,name,n/p.,Machceyah (makh-say-yaw'),"1. refuge of (i.e. in) Jah 2. Machsejah, an Israelite [from H4268 and H3050] KJV: Maaseiah. Root(s): H4268, H3050"
H4272,H,4272,מָחַץ,verb-stem,v.,machats (maw-khats'),"1. to dash asunder 2. (by implication) to crush, smash or violently plunge 3. (figuratively) to subdue or destroy [a primitive root] KJV: dip, pierce (through), smite (through), strike through, wound."
H4273,H,4273,מַחַץ,noun masc,n-m.,machats (makh'-ats),"1. a contusion [from H4272] KJV: stroke. Root(s): H4272"""
H4274,H,4274,מַחצֵּב,noun masc,n-m.,machtseb (makh-tsabe'),"1. (properly) a hewing 2. (concretely) a quarry [from H2672] KJV: hewed(-n). Root(s): H2672"""
H4275,H,4275,מֶחֱצָה,noun fem,n-f.,mechetsah (mekh-ets-aw'),"1. a halving [from H2673] KJV: half. Root(s): H2673"""
H4276,H,4276,מַחֲצִיתּ,noun fem,n-f.,machatsiyth (makh-ats-eeth'),"1. a halving or the middle [from H2673] KJV: half (so much), mid(-day). Root(s): H2673"
H4277,H,4277,מָחַק,verb-stem,v.,machaq (maw-khak'),"1. to crush [a primitive root] KJV: smite off."""
H4278,H,4278,מֶחקָר,noun masc,n-m.,mechqar (mekh-kawr'),"1. (properly) scrutinized 2. (by implication) a recess [from H2713] KJV: deep place. Root(s): H2713"""
H4279,H,4279,מָחָר,noun masc,n-m.,machar (maw-khar'),"1. (properly) deferred, i.e. the morrow 2. usually (adverbially) tomorrow 3. indefinitely, hereafter [probably from H309] KJV: time to come, tomorrow. Root(s): H309"
H4280,H,4280,מַחֲרָאָה,noun fem,n-f.,machara'ah (makh-ar-aw-aw'),"1. a sink [from the same as H2716] KJV: draught house. Root(s): H2716"""
H4281,H,4281,מַחֲרֵשָׁה,noun fem,n-f.,machareshah (makh-ar-ay-shaw'),"1. probably a pick-axe [from H2790] KJV: mattock. Root(s): H2790"""
H4282,H,4282,מַחֲרֶשֶׁת,noun fem,n-f.,macharesheth (makh-ar-eh'-sheth),"1. probably a hoe [from H2790] KJV: share. Root(s): H2790"""
H4283,H,4283,מָחֳרָת מָחֳרָתָם,noun fem,n-f.,mochorath (mokh-or-awth') (or mochoratham (1 Sam. 30),"1. the morrow or (adverbially) tomorrow [feminine from the same as H4279] KJV: morrow, next day. Root(s): H4279"
H4284,H,4284,מַחֲשָׁבָה מַחֲשֶׁבֶת,noun fem,n-f.,machashabah (makh-ash-aw-baw') (or machashebeth {makh-ash-eh'-beth}),"1. a contrivance 2. (concretely) a texture, machine 3. (abstractly) intention, plan 4. (hence, negatively) a plot 5. (hence, positively) advice [from H2803] KJV: cunning (work), curious work, device(-sed), imagination, invented, means, purpose, thought. Root(s): H2803"
H4285,H,4285,מַחשָׁך,noun masc,n-m.,machshak (makh-shawk'),"1. darkness 2. (concretely) a dark place [from H2821] KJV: dark(-ness, place). Root(s): H2821"
H4286,H,4286,מַחשׂוֹף,noun masc,n-m.,machsoph (makh-sofe'),"1. a peeling [from H2834] KJV: made appear. Root(s): H2834"""
H4287,H,4287,מַחַת,name,n/p.,Machath (makh'-ath),"1. erasure 2. Machath, the name of two Israelites [probably from H4229] KJV: Mahath. Root(s): H4229"
H4288,H,4288,מְחִתּתָּה,noun fem,n-f.,mchittah (mekh-it-taw'),"1. (properly) a dissolution 2. (concretely) a ruin 3. (abstractly) consternation [from H2846] KJV: destruction, dismaying, ruin, terror. Root(s): H2846"
H4289,H,4289,מַחתָּה,noun fem,n-f.,machtah (makh-taw'),"1. a pan for live coals [the same as H4288 in the sense of removal] KJV: censer, firepan, snuffdish. Root(s): H4288"
H4290,H,4290,מַחתֶּרֶת,noun masc,n-m.,machtereth (makh-teh'-reth),"1. a burglary 2. (figuratively) unexpected examination [from H2864] KJV: breaking up, secret search. Root(s): H2864"
A4291,A,4291,מְטָא מְטָה,verb,v.,mta' (met-aw') ((Aramaic) or mtah (Aramaic) {met-aw'}),"1. to arrive, extend or happen [apparently corresponding to H4672 in the intransitive sense of being found present] KJV: come, reach. See also: H4672"
H4292,H,4292,מַטאֲטֵא,noun masc,n-m.,mat'ate' (mat-at-ay'),"1. a broom (as removing dirt (compare English ""to dust"", i.e. remove dust)) [apparently a denominative from H2916] KJV: besom. Root(s): H2916"
H4293,H,4293,מַטבֵַּח,noun masc,n-m.,matbeach (mat-bay'-akh),"1. slaughter [from H2873] KJV: slaughter. Root(s): H2873"""
H4294,H,4294,מַטֶּה מַטָּה,noun masc,n-m.,matteh (mat-teh') (or (feminine) mattah {mat-taw'}),"1. a branch (as extending) 2. (figuratively) a tribe 3. also a rod, whether for chastising (figuratively, correction), ruling (a sceptre), throwing (a lance), or walking (a staff 4. (figuratively) a support of life, e.g. bread) [from H5186] KJV: rod, staff, tribe. Root(s): H5186"
H4295,H,4295,מַטָּה,adverb,adv.,mattah (mat'-taw),"1. downward, below or beneath 2. often adverbially with or without prefixes [from H5786 with directive enclitic appended] KJV: beneath, down(-ward), less, very low, under(-neath). Root(s): H5786"
H4296,H,4296,מִטָּה,noun fem,n-f.,mittah (mit-taw'),"1. a bed (as extended) for sleeping or eating 2. by analogy, a sofa, litter or bier [from H5186] KJV: bed((-chamber)), bier. Root(s): H5186"
H4297,H,4297,מוּטֶּה,noun masc,n-m.,mutteh (moot-teh'),"1. a stretching, i.e. distortion (figuratively, iniquity) [from H5186] KJV: perverseness. Root(s): H5186"
H4298,H,4298,מוּטָּה,noun fem,n-f.,muttah (moot-taw'),"1. expansion [from H5186] KJV: stretching out. Root(s): H5186"""
H4299,H,4299,מַטוֶה,noun masc,n-m.,matveh (mat-veh'),"1. something spun [from H2901] KJV: spun. Root(s): H2901"""
H4300,H,4300,מְטִיל,noun masc,n-m.,mtiyl (met-eel'),"1. an iron bar (as forged) [from H2904 in the sense of hammering out] KJV: bar. Root(s): H2904"""
H4301,H,4301,מַטמוֹן מַטמוֹן מַטמוּן,noun masc,n-m.,matmown (mat-mone') (or matmon {mat-mone'} or matmun {mat-moon'};),"1. a secret storehouse 2. (hence) a secreted valuable (buried) 3. (generally) money [from H2934] KJV: hidden riches, (hid) treasure(-s). Root(s): H2934"
H4302,H,4302,מַטָּע,noun masc,n-m.,matta` (mat-taw'),"1. something planted, i.e. the place (a garden or vineyard), or the thing (a plant, figuratively or men) 2. (by implication) the act, planting [from H5193] KJV: plant(-ation, -ing). Root(s): H5193"
H4303,H,4303,מַטעַם מַטעַמָּה,noun masc,n-m.,mat`am (mat-am') (or (feminine) matiammah {mat-am-maw'}),"1. a delicacy [from H2938] KJV: dainty (meat), savoury meat. Root(s): H2938"
H4304,H,4304,מִטפַּחַת,noun fem,n-f.,mitpachath (mit-pakh'-ath),"1. a wide cloak (for a woman) [from H2946] KJV: vail, wimple. Root(s): H2946"
H4305,H,4305,מָטַר,verb,v.,matar (maw-tar'),"1. to rain [a primitive root] KJV: (cause to) rain (upon)."""
H4306,H,4306,מָטָר,noun masc,n-m.,matar (maw-tawr'),"1. rain [from H4305] KJV: rain. Root(s): H4305"""
H4307,H,4307,מַטָּרָא מַטָּרָה,noun fem,n-f.,mattara' (mat-taw-raw') (or mattarah {mat-taw-raw'}),"1. a jail (as a guard-house) 2. also an aim (as being closely watched) [from H5201] KJV: mark, prison. Root(s): H5201"
H4308,H,4308,מַטרֵד,name,n/p.,Matred (mat-rade'),"1. propulsive 2. Matred, an Edomitess [from H2956] KJV: Matred. Root(s): H2956"
H4309,H,4309,מַטרִי,adjective,adj.,Matriy (mat-ree'),"1. rainy 2. Matri, an Israelite [from H4305] KJV: Matri. Root(s): H4305"
H4310,H,4310,מִי,interrogative,p/i.,miy (me),"1. who? 2. (occasionally, by a peculiar idiom, of things) which? 3. (indefinitely) whoever {often used in oblique construction with prefix or suffix} [an interrogative pronoun of persons, as H4100 is of things] KJV: any (man), X he, X him, + O that! what, which, who(-m, -se, -soever), + would to God. Root(s): H4100"
H4311,H,4311,מֵידֶּבָא,name/l.,n/l.,Meydba' (may-deb-aw'),"1. water of quiet 2. Medeba, a place in Israel [from H4325 and H1679] KJV: Medeba. Root(s): H4325, H1679"
H4312,H,4312,מֵידָּד,name,n/p.,Meydad (may-dawd'),"1. affectionate 2. Medad, an Israelite [from H3032 in the sense of loving] KJV: Medad. Root(s): H3032"
H4313,H,4313,מֵי הַיַּרקוֹן,name/l.,n/l.,Mey hay-Yarqown (may hah'-ee-yar-kone'),"1. water of the yellowness 2. Me-haj-Jarkon, a place in Israel [from H4325 and H3420 with the art. interposed] KJV: Me-jarkon. Root(s): H4325, H3420"
H4314,H,4314,מֵי זָהָב,name,n/p.,Mey Zahab (may zaw-hawb'),"1. Me-Zahab, an Edomite [from H4325 and H2091, water of gold] KJV: Mezahab. Root(s): H4325, H2091"
H4315,H,4315,מֵיטָּב,noun masc,n-m.,meytab (may-tawb'),"1. the best part [from H3190] KJV: best. Root(s): H3190"""
H4316,H,4316,מִיכָּא,name,n/p.,Miyka' (mee-kaw'),"1. Mica, the name of two Israelites [a variation for H4318] KJV: Micha. Root(s): H4318"
H4317,H,4317,מִיכָּאֵל,name,n/p.,Miyka'el (me-kaw-ale'),"1. who (is) like God? 2. Mikael, the name of an archangel and of nine Israelites [from H4310 and (the prefix derivative from) H3588 and H410] KJV: Michael. Root(s): H4310, H3588, H410"
H4318,H,4318,מִיכָּה,name,n/p.,Miykah (mee-kaw'),"1. Micah, the name of seven Israelites [an abbrev. of H4320] KJV: Micah, Micaiah, Michah. Root(s): H4320"
H4319,H,4319,מִיכָּהוּ,name,n/p.,Miykahuw (me-kaw'-hoo),"1. Mikehu, an Israelite prophet [a contr. for H4321] KJV: Micaiah (2 Chronicles 18 Root(s): H4321"
H4320,H,4320,מִיכָּיָה,name,n/p.,Miykayah (me-kaw-yaw'),"1. who (is) like Jah? 2. Micajah, the name of two Israelites [from H4310 and (the prefix derivative from) H3588 and H3050] KJV: Micah, Michaiah. Root(s): H4310, H3588, H3050 Compare: H4318"
H4321,H,4321,מִיכָּיְהוּ מִכָיְהוּ,name,n/p.,Miykayhuw (me-kaw-yeh-hoo') (or Mikayhuw (Jeremiah 36),"1. Mikajah, the name of three Israelites [abbrev. for H4322] KJV: Micah, Micaiah, Michaiah. Root(s): H4322"
H4322,H,4322,מִיכָּיָהוּ,name,n/p.,Miykayahuw (me-kaw-yaw'-hoo),"1. Mikajah, the name of an Israelite and an Israelitess [for H4320] KJV: Michaiah. Root(s): H4320"
H4323,H,4323,מִיכָּל,noun masc,n-m.,miykal (me-kawl'),"1. (properly) a container, i.e. a streamlet [from H3201] KJV: brook. Root(s): H3201"
H4324,H,4324,מִיכָּל,name,n/p.,Miykal (me-kawl'),"1. revulet 2. Mikal, Saul's daughter [apparently the same as H4323] KJV: Michal. Root(s): H4323"
H4325,H,4325,מַיִם,noun masc,n-m.,mayim (mah'-yim),"1. water 2. (figuratively) juice 3. (by euphemism) urine, semen [dual of a primitive noun (but used in a singular sense)] KJV: + piss, wasting, water(-ing, (-course, -flood, -spring))."
H4326,H,4326,מִיָמִן,name,n/p.,Miyamin (me-yaw-meem'),"1. Mijamin, the name of three Israelites [a form for H4509] KJV: Miamin, Mijamin. Root(s): H4509"
H4327,H,4327,מִין,noun masc,n-m.,miyn (meen),"1. a sort, i.e. species [from an unused root meaning to portion out] KJV: kind. Compare: H4480"
H4328,H,4328,מְיוּסָּדָה,prt.,prt.,myuccadah (meh-yoos-saw-daw'),"1. something founded, i.e. a foundation [(properly) feminine passive participle of H3245] KJV: foundation. Root(s): H3245"
H4329,H,4329,מֵיסָך,noun masc,n-m.,meycak (may-sawk'),"1. a portico (as covered) [from H5526] KJV: covert. Root(s): H5526"""
H4330,H,4330,מִיצּ,noun masc,n-m.,miyts (meets),"1. pressure [from H4160] KJV: churning, forcing, wringing. Root(s): H4160"
H4331,H,4331,מֵישָׁא,name,n/p.,Meysha' (may-shaw'),"1. departure 2. Mesha, a place in Arabia 3. also an Israelite [from H4185] KJV: Mesha. Root(s): H4185"
H4332,H,4332,מִישָׁאֵל,name,n/p.,Miysha'el (mee-shaw-ale'),"1. who (is) what God (is)? 2. Mishael, the name of three Israelites [from H4310 and H410 with the abbrev. insep. relatively (see H834) interposed] KJV: Mishael. Root(s): H4310, H410, H834"
A4333,A,4333,מִישָׁאֵל,name,n/p.,Miysha'el (mee-shaw-ale'),"1. Mishael, an Israelite [(Aramaic) corresponding to H4332] KJV: Mishael. Root(s): H4332"
H4334,H,4334,מִישׁוֹר מִישׁוֹר,noun masc,n-m.,miyshowr (mee-shore') (or miyshor {mee-shore'}),"1. a level, i.e. a plain (often used (with the article prefix) as a properly, name of certain districts) 2. (figuratively) concord 3. also straightness, i.e. (figuratively) justice (sometimes adverbially, justly) [from H3474] KJV: equity, even place, plain, right(-eously), (made) straight, uprightness. Root(s): H3474"
H4335,H,4335,מֵישַׁך,name,n/p.,Meyshak (may-shak'),"1. Meshak, an Israelite [borrowed from H4336] KJV: Meshak. Root(s): H4336"
A4336,A,4336,מֵישַׁך,name,n/p.,Meyshak (may-shak'),"1. Meshak, the Babylonian name of H4333 [(Aramaic) of foreign origin and doubtful significance] KJV: Meshak. See also: H4333"
H4337,H,4337,מֵישָׁע,name,n/p.,Meysha` (may-shah'),"1. safety 2. Mesha, an Israelite [from H3467] KJV: Mesha. Root(s): H3467"
H4338,H,4338,מֵישַׁע,name,n/p.,Meysha` (may-shaw'),"1. safety 2. Mesha, a Moabite [a variation for H4337] KJV: Mesha. Root(s): H4337"
H4339,H,4339,מֵישָׁר,noun masc,n-m.,meyshar (may-shawr'),"1. evenness, i.e. (figuratively) prosperity or concord 2. also straightness, i.e. (figuratively) rectitude (only in plural with singular sense 3. often adverbially) [from H3474] KJV: agreement, aright, that are equal, equity, (things that are) right(-eously, things), sweetly, upright(-ly, -ness). Root(s): H3474"
H4340,H,4340,מֵיתָּר,noun masc,n-m.,meythar (may-thar'),"1. a cord (of a tent) or the string (of a bow) [from H3498] KJV: cord, string. Root(s): H3498 Compare: H3499"
H4341,H,4341,מַכאוֹב מַכאוֹב מַכאוֹבָה,noun masc,n-m.,mak'ob (mak-obe') (sometimes makcowb {mak-obe'} also (feminine Isaiah 53),"1. anguish or (figuratively) affliction [from H3510] KJV: grief, pain, sorrow. Root(s): H3510"
H4342,H,4342,מַכבִּיר,v-xxp.,v-xxp.,makbiyr (mak-beer'),"1. plenty [transitive participle of H3527] KJV: abundance. Root(s): H3527"""
H4343,H,4343,מַכבֵּנָא,name,n/p.,Makbena' (mak-bay-naw'),"1. knoll 2. Macbena, a place in Israel settled by him [from the same as H3522] KJV: Machbenah. Root(s): H3522"
H4344,H,4344,מַכבַּנַּי,name,n/p.,Makbannay (mak-ban-nah'-ee),"1. a Macbannite or native of Macbena [patrial from H4343] KJV: Machbanai. Root(s): H4343"""
H4345,H,4345,מַכבֵּר,noun masc,n-m.,makber (mak-bare'),"1. a grate [from H3527 in the sense of covering] KJV: grate. Root(s): H3527 Compare: H3531"""
H4346,H,4346,מַכבָּר,noun masc,n-m.,makbar (mak-bawr'),"1. a cloth (as netted) [from H3527 in the sense of covering] KJV: thick cloth. Root(s): H3527 Compare: H4345"""
H4347,H,4347,מַכָּה מַכֶּה,noun fem,n-f.,makkah (mak-kaw') (or (masculine) makkeh {muk-keh'}),"1. a blow (in 2 Chronicles 2 2. (by implication) a wound 3. (figuratively) carnage, also pestilence [(plural only) from H5221] KJV: beaten, blow, plague, slaughter, smote, X sore, stripe, stroke, wound((-ed)). Root(s): H5221"
H4348,H,4348,מִכוָה,noun fem,n-f.,mikvah (mik-vaw'),"1. a burn [from H3554] KJV: that burneth, burning. Root(s): H3554"
H4349,H,4349,מָכוֹן,noun masc,n-m.,makown (maw-kone'),"1. (properly) a fixture, i.e. a basis 2. (generally) a place 3. (especially) an abode [from H3559] KJV: foundation, habitation, (dwelling-, settled) place. Root(s): H3559"
H4350,H,4350,מְכוֹנָה מְכוֹנָה,noun fem,n-f.,mkownah (mek-o-naw') (or mkonah {mek-o-naw'}),"1. a pedestal, also a spot [feminine of H4349] KJV: base. Root(s): H4349"
H4351,H,4351,מְכוּרָה מְכוֹרָה,noun fem,n-f.,mkuwrah (mek-oo-raw') (or mkorah {mek-o-raw'}),"1. origin (as if a mine) [from the same as H3564 in the sense of dipping] KJV: birth, habitation, nativity. Root(s): H3564"
H4352,H,4352,מָכִי,name,n/p.,Makiy (maw-kee'),"1. pining 2. Maki, an Israelite [probably from H4134] KJV: Machi. Root(s): H4134"
H4353,H,4353,מָכִיר,name,n/p.,Makiyr (maw-keer'),"1. salesman 2. Makir, an Israelite [from H4376] KJV: Machir. Root(s): H4376"
H4354,H,4354,מָכִירִי,adjective,adj.,Makiyriy (maw-kee-ree'),"1. a Makirite or descend. of Makir [patronymical from H4353] KJV: of Machir. Root(s): H4353"""
H4355,H,4355,מָכַך,verb-stem,v.,makak (maw-kak'),"1. to tumble (in ruins) 2. (figuratively) to perish [a primitive root] KJV: be brought low, decay."
H4356,H,4356,מִכלָאָה מִכלָה,noun masc,n-m.,mikla'ah (mik-law-aw') (or miklah {mik-law'}),"1. a pen (for flocks) [from H3607] KJV: ((sheep-))fold. Root(s): H3607 Compare: H4357"""
H4357,H,4357,מִכלָה,noun fem,n-f.,miklah (mik-law'),"1. completion 2. (in plural concrete, adverbial) wholly [from H3615] KJV: perfect. Root(s): H3615 Compare: H4356"
H4358,H,4358,מִכלוֹל,adverb,adv.,miklowl (mik-lole'),"1. perfection 2. (concrete adverbial) splendidly [from H3634] KJV: most gorgeously, all sorts. Root(s): H3634"
H4359,H,4359,מִכלָל,noun masc,n-m.,miklal (mik-lawl'),"1. perfection (of beauty) [from H3634] KJV: perfection. Root(s): H3634"""
H4360,H,4360,מִכלוּל,noun masc,n-m.,miklul (mik-lool'),"1. something perfect, i.e. a splendid garment [from H3634] KJV: all sorts. Root(s): H3634"
H4361,H,4361,מַכּוֹלֶת,noun fem,n-f.,makkoleth (mak-ko'-leth),"1. nourishment [from H398] KJV: food. Root(s): H398"""
H4362,H,4362,מִכמַן,noun masc,n-m.,mikman (mik-man'),"1. treasure (as hidden) [from the same as H3646 in the sense of hiding] KJV: treasure. Root(s): H3646"""
H4363,H,4363,מִכמָס מִכמָשׁ מִכמַשׁ,name/l.,n/l.,Mikmac (mik-maws') ((Ezra 2),"1. hidden 2. Mikmas or Mikmash, a place in Israel [from H3647] KJV: Mikmas, Mikmash. Root(s): H3647"
H4364,H,4364,מַכמָר מִכמוֹר,noun masc,n-m.,makmar (mak-mawr') (or mikmor {mik-more'}),"1. a (hunter's) net (as dark from concealment) [from H3648 in the sense of blackening by heat] KJV: net. Root(s): H3648"""
H4365,H,4365,מִכמֶרֶת מִכמוֹרֶת,noun fem,n-f.,mikmereth (mik-meh'-reth) (or mikmoreth {mik-mo'-reth}),"1. a (fisher's) net [feminine of H4364] KJV: drag, net. Root(s): H4364"
H4366,H,4366,מִכמְתָת,name/l.,n/l.,Mikmthath (mik-meth-awth'),"1. concealment 2. Mikmethath, a place in Israel [apparently from an unused root meaning to hide] KJV: Michmethath."
